Total Nacional;Comunidades y Ciudades Autónomas;Tipo de tareas informáticas;Periodo;Total
Total Nacional;Castilla - La Mancha;Transferir ficheros entre el ordenador y otros dispositivos;2023;..
Total Nacional;Castilla - La Mancha;Transferir ficheros entre el ordenador y otros dispositivos;2022;""
Total Nacional;Castilla - La Mancha;Transferir ficheros entre el ordenador y otros dispositivos;2021;..
Total Nacional;Castilla - La Mancha;Transferir ficheros entre el ordenador y otros dispositivos;2020;50
Total Nacional;Castilla - La Mancha;Instalar o configurar software o aplicaciones (apps);2025;""
Total Nacional;Castilla - La Mancha;Instalar o configurar software o aplicaciones (apps);2024;..
Total Nacional;Castilla - La Mancha;Instalar o configurar software o aplicaciones (apps);2023;60,2
Total Nacional;Castilla - La Mancha;Instalar o configurar software o aplicaciones (apps);2022;""
Total Nacional;Castilla - La Mancha;Instalar o configurar software o aplicaciones (apps);2021;58,7
Total Nacional;Castilla - La Mancha;Instalar o configurar software o aplicaciones (apps);2020;51,7
Total Nacional;Castilla - La Mancha;Copiar o mover ficheros o carpetas;2025;""
Total Nacional;Castilla - La Mancha;Copiar o mover ficheros o carpetas;2024;..
Total Nacional;Castilla - La Mancha;Copiar o mover ficheros o carpetas;2023;60,8
Total Nacional;Castilla - La Mancha;Copiar o mover ficheros o carpetas;2022;""
Total Nacional;Castilla - La Mancha;Copiar o mover ficheros o carpetas;2021;59,6
Total Nacional;Castilla - La Mancha;Copiar o mover ficheros o carpetas;2020;57,5
Total Nacional;Castilla - La Mancha;Crear presentaciones o documentos que integren texto, tablas o gráficos;2025;""
Total Nacional;Castilla - La Mancha;Crear presentaciones o documentos que integren texto, tablas o gráficos;2024;..
